filter_id,arm,fueltype,group,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25
3M50038,Control,Biomass,Baseline,0.0692,0.1938,0.0088,0.1313,0.3547,0.118,0.0111,0.0038,0.0827,0.0031,0.305,0.0908,2.584502789,24.28478888
3M50039,Intervention,Biomass,Baseline,0.1172,0.461,0.7402,0.2661,1.015,0.6348,0.0323,0.0161,0.2321,0.0046,0.7853,0.154,13.57936638,78.89901835
3M50040,Control,Biomass,Baseline,0.1216,0.0077,0.2425,0.3313,1.9132,0.6317,0.0276,0.0133,0.1395,0.0064,2.6481,0.0915,95.61282816,283.4125458
3M50046,Control,Biomass,Baseline,0.1992,1.6462,1.899,0.236,1.8146,0.5638,0.1105,0.0241,0.8825,0.0031,2.9458,0.1198,10.03408894,140.438434
3M50080,Intervention,Biomass,Baseline,0.1087,0.1857,0.8719,0.4874,0.7701,1.0556,0.0276,0.0038,0.1456,0.0031,1.2492,0.0517,10.65904838,57.53373586
3M50107,Control,Biomass,Control,0.03,0.0077,0.0088,0.1635,0.8615,0.0376,0.0111,0.0068,0.053900000000000003,0.0031,1.1414,0.0908,10.84864053,105.4094753
3M50113,Intervention,Biomass,Baseline,0.1708,0.0077,0.0731,0.2891,1.9753,0.3737,0.0161,0.0161,0.1554,0.0082,3.07,0.118,18.10095484,131.1334961
3M50148,Control,Biomass,Control,0.1881,0.7904,2.1355,0.2827,1.7105,0.6944,0.1059,0.0309,0.6341,0.0155,2.8362,0.1866,15.9761811,112.5138665
3M50150,Intervention,LPG,Intervention,0.0566,0.3094,0.6807,0.1107,0.4447,0.442,0.0438,0.0362,0.4971,0.0031,0.2703,0.092,2.550552014,17.11841205
3M50188,Intervention,Biomass,Baseline,0.0152,0.0077,0.0088,0.057,0.1998,0.0774,0.0111,0.0068,0.0429,0.0031,0.1273,0.0517,11.59620846,35.71485262
3M50190,Control,Biomass,Control,0.0407,0.1534,0.0088,0.1671,0.6321,0.1057,0.0111,0.0038,0.0429,0.0031,0.8163,0.0517,11.08881201,70.79872963
3M50193,Control,Biomass,Control,0.0685,0.297,0.175,0.187,1.0366,0.154,0.0254,0.0268,0.1404,0.0031,1.2601,0.0517,8.939040098,72.61272694
3M50212,Control,Biomass,Baseline,0.0665,0.559,0.6262,0.3996,0.3569,0.1987,0.046,0.0133,0.2411,0.0046,0.1773,0.0517,4.620283818,28.03391715
3M50727,Control,Biomass,Baseline,0.1399,0.6933,1.4347,0.2559,1.8091,0.9646,0.0668,0.0455,0.4789,0.0468,5.9117,0.0517,9.140840192,184.7196091
3M50733,Control,Biomass,Control,0.1028,0.9685,1.9362,0.4907,2.2967,0.8474,0.1313,0.0816,0.7857,0.0155,2.5568,0.0831,7.962898578,411.7681595
3M50755,Intervention,Biomass,Baseline,0.0694,0.0705,0.1134,0.4989,3.6518,0.4244,0.0111,0.0108,0.1375,0.0031,9.6665,0.0517,17.75336159,313.6862842
3M50757,Control,Biomass,Control,0.0785,0.2296,0.633,0.2385,0.9836,0.4297,0.0345,0.0334,0.2789,0.0137,1.1031,0.1036,11.16643865,45.47868061
3M50775,Intervention,LPG,Intervention,0.0194,0.0077,0.1443,0.2602,0.3411,0.1848,0.023,0.0148,0.2171,0.0046,0.1368,0.0517,2.575930641,21.89907638
3M50783,Intervention,Biomass,Baseline,0.0603,0.0077,0.0088,0.3684,1.2576,0.1691,0.0111,0.0093,0.0418,0.0031,2.555,0.0783,11.48788761,98.13229234
3M50786,Intervention,LPG,Intervention,0.0159,0.0254,0.0802,0.271,0.1541,0.1392,0.0206,0.0038,0.0917,0.0194,0.0623,0.0517,2.554747001,17.14656733
3M50794,Intervention,LPG,Intervention,0.0491,0.3327,0.0548,0.1706,0.1903,0.0787,0.023,0.0038,0.0997,0.0031,0.0636,0.0767,2.563241327,14.55320776
3M50813,Intervention,LPG,Intervention,0.0783,0.3119,0.0088,0.1614,0.561,0.2734,0.0111,0.0038,0.0219,0.0031,0.4474,0.0517,4.892116288,37.75852228
3M50821,Control,Biomass,Control,0.0743,0.2677,0.1638,0.2292,0.6394,0.1521,0.0206,0.0038,0.1067,0.0155,0.515,0.1401,5.112406666,27.09351385
