filter_id,factor_1,factor_2,factor_3,factor_4
3M50038,16.444387,-0.050914,2.911668,7.546528
3M50039,42.04685,2.68182,4.050599,13.609661
3M50040,141.890486,0.656212,2.058896,9.755406
3M50046,129.471746,9.496193,3.107111,-3.4318
3M50080,46.776714,1.785034,2.106043,23.205832
3M50107,60.211089,-0.120435,0.952675,6.151158
3M50113,148.5149,-0.020793,3.491534,6.050263
3M50148,172.278152,7.281431,6.529975,-0.723801
3M50150,10.283846,3.151927,1.652557,4.883966
3M50188,8.447348,0.008954,0.804444,3.412239
3M50190,43.731979,-0.112314,1.562627,7.393298
3M50193,65.663616,0.618464,2.337149,5.840066
3M50212,3.717267,2.585301,1.722144,23.253877
3M50727,152.741286,6.274838,2.524193,-2.723648
3M50733,127.741043,9.34116,-0.060808,14.332226
3M50755,313.338552,-0.098191,0.32707,3.125169
3M50757,53.606207,2.636369,2.039014,9.813918
3M50775,6.427471,0.429728,0.291511,17.972337
3M50783,98.519839,-0.349323,1.261506,15.943456
3M50786,1.861292,0.199983,0.330518,14.128206
3M50794,2.986791,0.112568,2.078713,11.197277
3M50813,25.741353,-0.166457,2.726887,8.354202
3M50821,26.612672,0.51437,3.062359,13.390884
3M50824,172.370383,-0.48744,1.080433,19.115126
3M50825,7.968285,3.963461,0.98637,11.830101
3M50829,299.259639,3.218466,1.714533,5.723556
3M50833,10.304462,-0.137527,0.710971,16.566157
3M50871,271.503292,-0.64196,-0.65618,15.183484
3M50876,232.646577,0.629666,-0.5673,-0.60597
3M50877,25.498295,-0.014828,4.724824,18.933241
3M50888,52.704506,0.371855,3.411152,3.542132
3M50889,11.73731,1.555822,2.756645,6.74486
3M50890,39.469785,0.465389,2.482001,10.970263
3M50924,25.899775,-0.128768,1.764763,12.121118
3M50927,14.522711,5.242887,1.903545,10.308956
3M50986,98.720578,2.328935,0.063558,7.66218
3M50987,13.849961,1.415875,0.107853,10.567199
3M50995,12.40789,0.002885,0.970162,15.882885
3M50998,121.268541,2.263936,1.952332,26.627336
3M51000,15.984313,1.769627,4.666752,10.175115
3M51014,75.060409,1.710053,4.964658,14.027826
3M51018,144.152878,0.441444,1.905317,41.07693
3M51026,39.782288,2.032863,7.239306,9.490471
3M51036,20.221008,5.560658,1.17115,21.369819
3M51073,12.809369,1.332966,1.753871,6.188565
3M51077,141.288267,2.889013,3.397044,-3.418416
3M51083,32.82584,6.604805,4.290433,4.686123
3M51092,10.220369,2.703037,0.603193,28.576599
3M51094,49.107466,5.727888,2.126942,16.326102
3M51102,54.99728,1.521477,2.284655,14.245059
3M51112,4.602855,8.497304,1.529523,10.459612
3M51114,132.444865,3.990744,3.52303,9.673386
3M51125,13.007939,0.681954,4.922662,10.670839
3M51129,319.21426,7.662756,-0.65618,0.998877
3M51130,10.735239,1.184159,2.101023,28.463349
3M51139,177.253243,3.845661,-0.65618,13.697687
3M51144,28.169219,6.064917,4.463993,22.929572
3M51146,58.561768,0.233879,1.050216,33.648799
3M51164,99.056953,3.924301,2.415825,14.122372
3M51187,67.991113,1.301574,3.014885,9.351655
3M51188,12.968334,1.650768,3.631956,8.193251
3M51198,66.705293,2.01707,3.122203,4.975595
3M51199,10.670677,0.523069,4.359988,16.042807
3M51202,8.115856,6.408366,4.454806,12.580121
3M51253,188.961257,-0.20164,-0.338031,-2.050844
3M51270,201.993067,-0.453994,-0.65618,27.847341
3M51273,319.632016,10.139116,0.821406,10.859073
3M51278,486.170094,1.128469,-0.65618,-1.111114
3M51280,7.092625,0.240944,0.442134,9.238577
3M51284,82.910963,0.301773,1.902922,5.314314
3M51291,139.801707,8.566635,2.490236,-1.164719
3M51307,64.008869,0.266885,3.103731,13.182573
3M51310,55.463864,3.94677,4.409858,15.590496
3M51312,0.777623,1.584839,0.398006,14.351101
3M51314,9.851441,0.395833,0.969998,13.327052
3M51322,275.594044,13.098873,0.975018,-2.842388
3M51328,25.085422,0.349002,0.377927,17.519339
3M51332,144.158303,13.338966,0.541709,12.306263
3M51338,5.466633,3.3016,1.673226,25.132787
3M51353,0.575147,0.820971,2.241708,23.324229
3M51356,309.204397,4.293428,-0.577766,5.076319
3M51359,3.399393,0.724644,4.728433,13.010812
3M51366,0.109973,2.808671,2.148825,29.777729
3M51377,1.083018,0.702914,1.930318,25.52916
3M51385,6.579383,6.383971,1.731036,35.181098
3M51400,3.234406,2.191106,0.831019,30.882768
3M51406,-1.510594,3.776972,1.339099,36.488614
3M51408,73.600976,7.304542,3.357017,33.844412
3M51418,89.942281,2.173548,3.873431,20.836174
3M51456,5.441134,4.236615,5.160528,13.28793
3M51466,68.625885,1.944272,3.498096,19.97136
3M51467,0.017503,0.039269,0.207097,0.075714
3M51469,4.31634,1.992419,3.884586,17.246511
3M51478,72.152395,2.189918,4.281246,22.962174
3M51486,10.634327,1.775629,2.209817,11.363548
3M51500,12.792008,0.593075,0.219512,12.080966
3M51510,-6.898939,5.598854,0.157687,51.725805
3M51532,6.670529,7.232963,3.377358,54.584495
3M51551,-9.706583,9.378715,3.088082,38.81709
3M51600,44.953237,7.544635,6.2406,24.77588
3M51612,44.668403,1.139222,6.468951,15.366228
3M51617,42.070722,5.69579,4.304541,21.189649
3M51618,131.36521,1.357681,6.468294,17.745838
3M51632,8.891688,1.587374,6.401036,30.807269
3M51658,26.54377,2.564373,5.210397,11.808995
3M51661,23.690552,4.248491,3.113541,11.527931
3M51662,51.13982,1.503631,2.911011,47.496112
3M51665,216.733879,2.694499,0.163458,45.286033
3M51672,44.519205,0.03594,1.742224,35.876037
3M51678,209.778516,0.978508,-0.65618,19.435999
3M51684,280.910936,10.788459,2.837191,2.317151
3M51685,24.581402,3.789811,5.976159,22.771709
3M51688,-0.446163,3.568335,4.911179,17.001652
3M51689,86.019717,13.66123,7.654668,12.202451
3M51690,1.56946,0.496331,2.726658,14.697198
3M51691,-1.022525,5.565472,2.513235,31.550253
3M51694,1.296182,0.947661,0.954578,17.956894
3M51695,-1.4571,1.9193,1.86821,14.877883
3M51698,43.139526,5.721789,4.131965,37.523301
3M51705,157.114159,11.605032,1.033057,9.287652
3M51711,4.349977,1.480199,2.797886,27.474991
3M51728,174.752134,4.683098,1.721554,25.206571
3M51743,64.757574,2.642564,2.045969,19.236955
3M51747,28.930403,0.855027,4.671017,25.115628
3M51751,29.471858,3.577964,3.525327,56.288384
3M51757,-3.276345,9.296865,1.519155,25.074447
3M51767,81.711949,2.180738,2.052367,17.766429
3M51769,37.853558,0.650819,0.252193,54.558756
3M51775,368.151368,0.911134,1.410557,56.964448
3M51778,8.757138,-0.187722,0.576159,51.537056
3M51780,14.452181,18.150777,3.079978,48.930604
3M51781,-4.400705,5.110323,3.178339,37.574778
3M51782,0.265172,4.576533,2.983158,17.792167
3M51789,6.356941,3.045715,2.29371,18.145642
3M51790,50.635801,1.732746,2.20237,19.520078
3M51796,1.359768,10.157412,2.697818,15.673031
3M51811,196.356077,18.173567,5.985346,6.692353
3M51813,194.522292,3.957362,1.052119,20.649141
3M51814,20.439109,9.751372,5.554892,18.341255
3M51816,55.387909,11.638735,1.99961,16.914656
3M51837,25.065891,1.171128,1.240443,26.210372
3M51839,17.413906,3.594334,7.406304,18.578049
3M51851,5.392793,0.901151,3.75663,21.095275
3M51855,7.70244,2.740174,4.311431,27.487002
3M51859,192.406386,0.691038,1.171708,10.848091
3M51861,0.995507,7.020796,1.996034,23.32766
3M51873,15.856274,3.443473,4.41281,64.471511
3M51874,-10.8508,11.865026,2.522553,43.906449
3M51881,40.268404,4.14642,5.063741,49.598089
3M51895,39.900562,-0.64196,0.83056,65.863106
3M51909,33.970057,3.912746,0.980038,55.125003
3M51914,-0.733189,1.936408,0.686299,42.736205
3M51915,2.953805,1.887138,0.906414,55.312036
3M51916,2.079502,0.175599,1.992523,70.86667
3M51924,76.774835,2.680247,3.345862,65.461585
3M51926,-5.76503,3.54715,0.939847,26.181202
3M51928,44.970056,1.318361,3.557152,65.918014
3M51929,58.46411,3.353278,0.447252,58.652894
3M51931,7.641676,3.123777,1.979301,61.468686
3M51933,-0.029208,0.089746,1.016948,43.498065
3M51937,5.618002,3.192018,5.128703,70.338173
3M51942,34.45129,1.073935,1.777788,67.369666
3M51950,-1.569297,2.24962,4.786833,46.657037
3M51953,1.741716,1.334442,4.700217,57.939079
3M51957,-4.606219,3.790132,5.159871,50.661948
3M51966,225.099846,7.041659,6.059822,15.053591
3M51967,236.281595,0.9969,1.245102,24.731267
3M51976,2.706298,2.994583,2.098398,60.718837
3M51977,4.294638,2.526177,3.205308,86.551712
3M51985,3.003827,0.181588,1.199924,53.709386
3M51995,68.739818,2.202854,1.306225,87.104232
3M51996,8.686065,10.106376,10.017244,87.329015
3M52002,29.545643,4.495325,3.66739,77.944758
3M52016,135.922546,2.827545,2.418319,55.567706
3M52022,85.10825,7.457328,4.137215,25.757375
3M52023,0.279831,1.723727,2.89838,26.879574
3M52026,69.732666,2.245063,3.401309,30.688871
3M52031,-3.019344,4.890772,3.646392,30.074579
3M52035,66.683591,3.585989,4.173305,26.613609
3M52045,134.848317,3.571544,3.075909,20.213302
3M52049,-3.821598,4.992844,5.480743,30.740348
3M52050,7.181059,2.01354,4.258936,41.435553
3M52051,-2.471053,5.19121,6.334434,30.251317
3M52064,40.24833,5.795615,5.134608,40.828125
3M52067,4.508616,0.645844,3.755318,43.623326
3M52069,-0.98688,2.384047,4.465633,26.556984
3M52077,62.12083,3.594655,4.215956,41.83879
3M52083,0.628912,1.535761,2.836404,42.918091
3M52084,68.305786,0.691969,2.21008,44.923978
3M52086,7.061158,-0.089537,2.975908,49.788554
3M52091,212.778763,4.711023,3.4853,33.906184
3M52115,132.954852,15.045938,6.203526,56.744813
3M52119,1.930466,1.903283,2.455163,35.836571
