hhid,date,arm,timepoint,filter_id,pm25,bc,fueltype,group
33004,2018-11-28,Control,P2,3M50953,93.98496241,13.07379934,Biomass,Control
33105,2019-01-02,Control,P1,3M51135,523.6723972,127.4863055,Biomass,Control
33128,2018-10-24,Intervention,BL,3M50778,155.8571702,13.56937619,Biomass,Baseline
33196,2019-05-20,Intervention,P2,3M52234,31.27533882,5.75807284,LPG,Intervention
33222,2019-01-09,Control,BL,3M51231,72.97579057,8.897658912,Biomass,Baseline
33230,2019-05-02,Intervention,P1,3M52057,47.67680244,8.101873294,LPG,Intervention
33272,2019-03-01,Intervention,BL,3M51548,54.46396311,8.632763717,Biomass,Baseline
33332,2019-07-08,Control,P1,3M52783,300.2243409,48.06760899,Biomass,Control
33376,2019-08-31,Control,P2,3M53500,36.02881841,5.494832562,Biomass,Control
33436,2019-05-29,Control,BL,3M52310,138.4848105,6.821708407,Biomass,Baseline
33480,2019-06-14,Control,BL,3M52464,25.56883887,5.097563023,Biomass,Baseline
33567,2020-01-27,Control,P2,3M54802,127.2533088,18.01738265,Biomass,Control
33588,2020-01-17,Intervention,P2,3M54663,33.73822958,5.745252567,LPG,Intervention
33626,2019-12-09,Intervention,P1,3M54374,27.48169679,5.926579433,LPG,Intervention
33659,2019-11-06,Intervention,BL,3M54104,129.797671,17.73277845,Biomass,Baseline
33663,2020-01-27,Intervention,P1,3M54801,43.36268813,5.715259054,LPG,Intervention
35004,2018-10-30,Intervention,P2,3M50807,34.41827381,5.128139065,LPG,Intervention
35141,2020-02-05,Intervention,P2,3M54895,19.47481693,2.720291027,LPG,Intervention
