hhid,date,arm,timepoint,filter_id,pm25,bc,fueltype,group
35017,2018-08-29,Control,BL,3M50038,24.28478888,2.584502789,Biomass,Baseline
33056,2018-08-31,Intervention,BL,3M50039,78.89901835,13.57936638,Biomass,Baseline
33055,2018-08-31,Control,BL,3M50040,283.4125458,95.61282816,Biomass,Baseline
33058,2018-09-03,Control,BL,3M50046,140.438434,10.03408894,Biomass,Baseline
33069,2018-09-12,Intervention,BL,3M50080,57.53373586,10.65904838,Biomass,Baseline
33012,2018-09-21,Control,P1,3M50107,105.4094753,10.84864053,Biomass,Control
35022,2018-09-21,Intervention,BL,3M50113,131.1334961,18.10095484,Biomass,Baseline
33004,2018-10-03,Control,P1,3M50148,112.5138665,15.9761811,Biomass,Control
33052,2018-10-03,Intervention,P1,3M50150,17.11841205,2.550552014,LPG,Intervention
35024,2018-10-05,Intervention,BL,3M50188,35.71485262,11.59620846,Biomass,Baseline
35018,2018-10-05,Control,P1,3M50190,70.79872963,11.08881201,Biomass,Control
33025,2018-10-05,Control,P1,3M50193,72.61272694,8.939040098,Biomass,Control
33104,2018-10-10,Control,BL,3M50212,28.03391715,4.620283818,Biomass,Baseline
33116,2018-10-19,Control,BL,3M50727,184.7196091,9.140840192,Biomass,Baseline
33027,2018-10-17,Control,P1,3M50733,411.7681595,7.962898578,Biomass,Control
33120,2018-10-19,Intervention,BL,3M50755,313.6862842,17.75336159,Biomass,Baseline
33071,2018-10-19,Control,P1,3M50757,45.47868061,11.16643865,Biomass,Control
33047,2018-10-24,Intervention,P1,3M50775,21.89907638,2.575930641,LPG,Intervention
35036,2018-10-26,Intervention,BL,3M50783,98.13229234,11.48788761,Biomass,Baseline
33014,2018-10-26,Intervention,P1,3M50786,17.14656733,2.554747001,LPG,Intervention
33089,2018-10-30,Intervention,P1,3M50794,14.55320776,2.563241327,LPG,Intervention
33067,2018-10-30,Intervention,P1,3M50813,37.75852228,4.892116288,LPG,Intervention
33013,2018-11-05,Control,P2,3M50821,27.09351385,5.112406666,Biomass,Control
33028,2018-11-05,Control,P1,3M50824,328.5712221,12.86530738,Biomass,Control
35033,2018-11-09,Intervention,P1,3M50825,21.13198569,2.623794217,LPG,Intervention
35038,2018-11-07,Intervention,BL,3M50829,272.8286748,12.02412121,Biomass,Baseline
33022,2018-11-05,Intervention,P1,3M50833,9.673464073,2.567415168,LPG,Intervention
33106,2018-11-14,Control,P1,3M50871,363.6288972,11.95450085,Biomass,Control
33088,2018-11-12,Control,P1,3M50876,211.2730529,10.51080519,Biomass,Control
33101,2018-11-12,Control,P1,3M50877,91.81537594,5.726621133,Biomass,Control
33012,2018-11-16,Control,P2,3M50888,85.14992908,9.697128059,Biomass,Control
35005,2018-11-16,Control,P1,3M50889,21.02543786,2.610565002,Biomass,Control
33017,2018-11-21,Control,P2,3M50890,56.94877748,12.93550737,Biomass,Control
35051,2018-11-21,Control,BL,3M50924,51.39551477,7.609532835,Biomass,Baseline
33032,2018-11-21,Intervention,P2,3M50927,45.02540472,5.828880525,LPG,Intervention
33064,2018-11-28,Control,P1,3M50986,169.6289563,12.70248836,Biomass,Control
33091,2018-11-28,Intervention,P1,3M50987,9.689479742,4.639786074,LPG,Intervention
33083,2018-12-03,Control,P1,3M50995,127.206037,22.97534826,Biomass,Control
33163,2018-12-03,Control,BL,3M50998,190.4920969,11.34860935,Biomass,Baseline
33061,2018-12-05,Intervention,P2,3M51000,9.73784653,2.584502789,LPG,Intervention
33069,2018-12-05,Intervention,P1,3M51014,98.24713764,15.36308495,LPG,Intervention
35058,2018-12-03,Intervention,BL,3M51018,198.236443,16.17437642,Biomass,Baseline
33118,2018-12-05,Control,P1,3M51026,90.90435565,11.77192864,Biomass,Control
33103,2018-12-07,Intervention,P1,3M51036,48.0150749,7.191615967,LPG,Intervention
33132,2018-12-10,Intervention,P1,3M51073,9.803091732,2.601819391,LPG,Intervention
35060,2018-12-10,Intervention,BL,3M51077,179.0682286,9.816311329,Biomass,Baseline
33157,2018-12-12,Intervention,BL,3M51083,46.44921734,10.14596113,Biomass,Baseline
33006,2018-12-14,Intervention,P2,3M51092,40.81420054,8.164597503,LPG,Intervention
33071,2018-12-14,Control,P2,3M51094,61.99037997,13.86799901,Biomass,Control
33096,2018-12-17,Control,P1,3M51102,73.03855808,8.139135941,Biomass,Control
33039,2018-12-17,Intervention,P2,3M51112,23.36159762,2.610565002,LPG,Intervention
35070,2018-12-17,Control,BL,3M51114,167.6400071,14.7115211,Biomass,Baseline
33184,2018-12-17,Control,BL,3M51125,24.24444869,4.50918432,Biomass,Baseline
33090,2018-12-19,Control,P1,3M51129,489.9803081,19.41406262,Biomass,Control
33087,2018-12-19,Intervention,P2,3M51130,36.43945037,8.14873529,LPG,Intervention
35049,2018-12-19,Control,BL,3M51139,102.8327467,14.44850614,Biomass,Baseline
35008,2018-12-21,Control,P2,3M51144,47.11915453,7.92275529,Biomass,Control
35009,2018-12-21,Control,P2,3M51146,70.43995229,9.860806345,Biomass,Control
35019,2018-12-26,Control,P1,3M51164,94.14428435,15.59808752,Biomass,Control
33206,2019-01-02,Intervention,BL,3M51187,319.7958233,14.72401052,Biomass,Baseline
33022,2019-01-02,Intervention,P2,3M51188,10.49407213,2.554747001,LPG,Intervention
33176,2019-01-07,Control,P1,3M51198,52.83347112,9.426280076,Biomass,Control
33067,2019-01-04,Intervention,P2,3M51199,14.90459022,2.635469353,LPG,Intervention
33110,2019-01-04,Intervention,P1,3M51202,23.28333431,2.601819391,LPG,Intervention
35029,2019-01-09,Control,P1,3M51253,117.9546888,12.80223352,Biomass,Control
33209,2019-01-14,Intervention,BL,3M51270,555.4827123,10.46457803,Biomass,Baseline
33217,2019-01-16,Control,BL,3M51273,409.6006573,10.71946536,Biomass,Baseline
33107,2019-01-18,Control,P1,3M51278,632.3942383,20.6994654,Biomass,Control
33102,2019-01-14,Intervention,P2,3M51280,10.93327672,2.661669898,LPG,Intervention
33135,2019-01-16,Control,P1,3M51284,108.1906814,15.56702944,Biomass,Control
33226,2019-01-16,Control,BL,3M51291,267.1773725,8.972224132,Biomass,Baseline
33146,2019-01-18,Control,P1,3M51307,80.32750338,15.05598302,Biomass,Control
33162,2019-01-18,Intervention,P1,3M51310,73.34250309,10.3750303,LPG,Intervention
33049,2019-01-18,Intervention,P2,3M51312,10.81423026,2.632688434,LPG,Intervention
33099,2019-01-18,Intervention,P1,3M51314,10.70536217,2.60618486,LPG,Intervention
33231,2019-01-23,Control,BL,3M51322,233.231869,20.59541886,Biomass,Baseline
35027,2019-01-23,Control,P2,3M51328,51.65596501,10.97277652,Biomass,Control
33230,2019-01-23,Intervention,BL,3M51332,204.209224,11.75151683,Biomass,Baseline
33143,2019-01-23,Intervention,P1,3M51338,31.8054293,6.457291309,LPG,Intervention
35036,2019-01-28,Intervention,P2,3M51353,18.38036441,2.567415168,LPG,Intervention
33125,2019-01-23,Control,P1,3M51356,322.3053466,16.29961789,Biomass,Control
33097,2019-01-25,Intervention,P2,3M51359,29.72071671,5.74970367,LPG,Intervention
33182,2019-01-25,Intervention,P1,3M51366,26.55344381,4.166217287,LPG,Intervention
35017,2019-01-28,Control,P2,3M51377,17.60998807,2.623794217,Biomass,Control
33172,2019-01-28,Intervention,P1,3M51385,35.08995669,9.810163515,LPG,Intervention
35044,2019-01-28,Intervention,P1,3M51400,33.31799372,4.978666427,LPG,Intervention
33081,2019-01-30,Intervention,P2,3M51406,22.42235865,2.569582702,LPG,Intervention
33150,2019-01-30,Control,P1,3M51408,284.5332838,16.39451432,Biomass,Control
35037,2019-02-01,Intervention,P1,3M51418,70.79872963,15.28507606,LPG,Intervention
33140,2019-02-06,Control,P2,3M51456,25.25113861,2.687346326,Biomass,Control
33242,2019-02-08,Control,BL,3M51466,128.8364297,13.61181349,Biomass,Baseline
35056,2019-02-06,Intervention,P1,3M51467,49.22481657,2.619369606,LPG,Intervention
33157,2019-02-08,Intervention,P1,3M51469,10.40847611,2.533908934,LPG,Intervention
33242,2019-02-08,Control,BL,3M51478,128.8364297,13.61181349,Biomass,Baseline
33094,2019-02-11,Intervention,P2,3M51486,30.4725055,3.746624047,LPG,Intervention
33173,2019-02-11,Control,P1,3M51500,18.38036441,2.567415168,Biomass,Control
33185,2019-02-15,Intervention,P1,3M51510,33.53613702,2.584502789,LPG,Intervention
35050,2019-02-18,Intervention,P1,3M51532,41.08997217,2.623794217,LPG,Intervention
33110,2019-02-22,Intervention,P2,3M51551,55.27132635,4.762974459,LPG,Intervention
35078,2019-02-27,Control,BL,3M51600,78.27729852,11.28260507,Biomass,Baseline
33277,2019-03-06,Control,BL,3M51612,63.28710945,7.104850409,Biomass,Baseline
33250,2019-03-01,Control,BL,3M51617,105.3759286,13.15510179,Biomass,Baseline
33161,2019-03-01,Control,P1,3M51618,122.5136831,16.93868444,Biomass,Control
33098,2019-03-04,Intervention,P2,3M51632,34.81039438,5.674606813,LPG,Intervention
33274,2019-03-06,Intervention,BL,3M51658,53.10688762,8.104304534,Biomass,Baseline
35029,2019-03-06,Control,P2,3M51661,60.44434428,8.426378219,Biomass,Control
35041,2019-03-15,Intervention,P2,3M51662,60.59039999,12.68458421,LPG,Intervention
33288,2019-03-08,Intervention,BL,3M51665,780.2623916,32.46684099,Biomass,Baseline
33137,2019-03-08,Control,P2,3M51672,61.82933539,11.85444265,Biomass,Control
33291,2019-03-11,Intervention,BL,3M51678,654.86269,7.723581149,Biomass,Baseline
35068,2019-03-08,Control,P2,3M51684,259.037748,16.90301827,Biomass,Control
33296,2019-03-13,Control,BL,3M51685,93.28960124,10.14141426,Biomass,Baseline
35065,2019-03-11,Intervention,P2,3M51688,20.85022588,2.588810294,LPG,Intervention
33162,2019-03-11,Intervention,P2,3M51689,104.0716954,12.56592971,LPG,Intervention
33205,2019-03-11,Intervention,BLP1,3M51690,26.68107187,2.030966173,LPG,Intervention
33209,2019-03-13,Intervention,BLP1,3M51691,35.2622478,4.382529245,LPG,Intervention
33119,2019-03-11,Intervention,P2,3M51694,19.00875294,2.655190045,LPG,Intervention
33216,2019-03-11,Intervention,P1,3M51695,20.74649341,2.575930641,LPG,Intervention
33242,2019-03-13,Control,BLP1,3M51698,93.91993638,16.50434893,Biomass,Control
33285,2019-03-11,Control,BL,3M51705,256.2401497,18.46851838,Biomass,Baseline
33287,2019-03-13,Intervention,BL,3M51711,35.58059023,5.862994115,Biomass,Baseline
33126,2019-03-18,Control,P2,3M51728,214.9266981,20.26005448,Biomass,Control
33177,2019-03-18,Control,P1,3M51743,109.9188185,6.610977784,Biomass,Control
33240,2019-03-18,Control,P1,3M51747,75.96859965,12.36331222,Biomass,Control
33303,2019-03-20,Intervention,BL,3M51751,112.735335,14.92957922,Biomass,Baseline
33238,2019-03-18,Intervention,P1,3M51757,46.88077769,5.979695686,LPG,Intervention
33182,2019-03-22,Intervention,P2,3M51767,53.55366236,9.839510642,LPG,Intervention
35092,2019-03-20,Intervention,BL,3M51769,63.95034557,8.959960334,Biomass,Baseline
33301,2019-03-20,Intervention,BL,3M51775,333.9340081,18.80120964,Biomass,Baseline
33174,2019-03-20,Control,P2,3M51778,64.24439346,8.876264096,Biomass,Control
35090,2019-03-20,Control,BL,3M51780,62.15514489,7.404802993,Biomass,Baseline
33257,2019-03-20,Intervention,BLP1,3M51781,36.63960615,4.511644721,LPG,Intervention
33236,2019-03-22,Intervention,P1,3M51782,20.91995907,2.597468522,LPG,Intervention
33074,2019-03-25,Control,P2,3M51789,89.3749107,9.57790822,Biomass,Control
33309,2019-03-22,Control,BL,3M51790,91.81537594,11.3193336,Biomass,Baseline
33311,2019-03-22,Intervention,BL,3M51796,41.49298682,3.779567861,Biomass,Baseline
33326,2019-03-25,Intervention,BL,3M51811,254.99423,13.5173525,Biomass,Baseline
33308,2019-03-25,Control,BL,3M51813,141.3574636,15.03044551,Biomass,Baseline
33226,2019-03-27,Control,BLP1,3M51814,60.6760104,6.782367542,Biomass,Control
33325,2019-03-25,Control,BL,3M51816,127.206037,9.1041479,Biomass,Baseline
33242,2019-03-27,Control,P1,3M51837,77.49565418,11.31064251,Biomass,Control
33330,2019-03-27,Control,BL,3M51839,54.83764382,6.921281493,Biomass,Baseline
33334,2019-03-29,Control,BL,3M51851,74.44898743,11.17287164,Biomass,Baseline
35078,2019-03-27,Control,BLP1,3M51855,64.04506242,8.202754442,Biomass,Control
33246,2019-03-29,Control,BLP1,3M51859,366.1616849,18.05138991,Biomass,Control
33288,2019-03-29,Intervention,BLP1,3M51861,38.54663608,4.879401366,LPG,Intervention
33222,2019-04-01,Control,P2,3M51873,75.87768969,10.12786575,Biomass,Control
33257,2019-04-01,Intervention,P1,3M51874,44.65452,4.170721276,LPG,Intervention
