filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M50038,0.0068,0.0164,0.0104,0.0107,0.0302,0.0118,0.0132,0.0046,0.0121,0.0037,0.0318,0.01,3.2025,4.807,Control,Biomass,Baseline
3M50039,0.0106,0.0377,0.0601,0.0216,0.0837,0.0529,0.0097,0.0056,0.0239,0.0088,0.0708,0.0148,1.059,6.0989,Intervention,Biomass,Baseline
3M50040,0.0112,0.009,0.0202,0.0269,0.1564,0.0529,0.0085,0.0043,0.0164,0.0075,0.2208,0.0115,3.8757,14.9144,Control,Biomass,Baseline
3M50046,0.0172,0.1335,0.1539,0.0192,0.1483,0.0473,0.0165,0.0077,0.0765,0.0037,0.2451,0.013,1.6593,8.4226,Control,Biomass,Baseline
3M50080,0.0101,0.0161,0.0708,0.0395,0.064,0.0868,0.0078,0.0046,0.0169,0.0037,0.1082,0.061,2.0031,5.4689,Intervention,Biomass,Baseline
3M50107,0.0047,0.009,0.0104,0.0133,0.0712,0.0076,0.0132,0.0032,0.0087,0.0037,0.0994,0.0102,1.0923,7.0293,Control,Biomass,Control
3M50113,0.0147,0.009,0.0074,0.0234,0.1614,0.0322,0.0056,0.0049,0.0176,0.0073,0.2553,0.0127,3.4031,8.0389,Intervention,Biomass,Baseline
3M50148,0.0164,0.0644,0.173,0.0229,0.1399,0.0578,0.0171,0.0082,0.0566,0.0112,0.2361,0.0178,0.1764,7.2994,Control,Biomass,Control
3M50150,0.0065,0.0258,0.0554,0.009,0.0376,0.0373,0.0113,0.0075,0.045,0.0037,0.0297,0.0103,1.9738,4.7293,Intervention,LPG,Intervention
3M50188,0.0037,0.009,0.0104,0.0047,0.0178,0.009,0.0132,0.0032,0.0079,0.0037,0.0171,0.061,0.1921,4.9822,Intervention,Biomass,Baseline
3M50190,0.0049,0.0132,0.0104,0.0136,0.0527,0.0111,0.0132,0.0046,0.0079,0.0037,0.073,0.061,0.7378,5.845,Control,Biomass,Control
3M50193,0.007,0.0246,0.0147,0.0152,0.0854,0.0151,0.0088,0.0061,0.0164,0.0037,0.109,0.061,5.0799,5.9004,Control,Biomass,Control
3M50212,0.0068,0.0456,0.0509,0.0324,0.0304,0.0178,0.0099,0.0052,0.0248,0.0088,0.0217,0.061,1.451,4.8578,Control,Biomass,Baseline
3M50727,0.0127,0.0565,0.1163,0.0208,0.1481,0.0796,0.0139,0.0092,0.0437,0.0116,0.485,0.061,1.7582,10.341,Control,Biomass,Baseline
3M50733,0.0102,0.0787,0.1569,0.0398,0.1874,0.0702,0.0191,0.0126,0.0693,0.0114,0.2137,0.011,2.6959,21.1072,Control,Biomass,Control
3M50755,0.0075,0.0077,0.0102,0.0404,0.2971,0.0367,0.0132,0.0061,0.016,0.0037,0.789,0.061,2.424,16.3594,Intervention,Biomass,Baseline
3M50757,0.0078,0.0194,0.0515,0.0194,0.0811,0.0364,0.0089,0.008,0.0276,0.0105,0.0958,0.0111,1.9752,5.1773,Control,Biomass,Control
3M50775,0.0038,0.009,0.0124,0.0211,0.0291,0.0167,0.0082,0.0051,0.0226,0.0082,0.0182,0.061,0.3998,4.7783,Intervention,LPG,Intervention
3M50783,0.0063,0.009,0.0104,0.0299,0.1033,0.0162,0.0132,0.0053,0.0077,0.0037,0.2135,0.0097,2.2486,6.7608,Intervention,Biomass,Baseline
3M50786,0.0037,0.005,0.0075,0.022,0.0142,0.0131,0.0068,0.0046,0.0122,0.0091,0.0124,0.061,1.8832,4.7295,Intervention,LPG,Intervention
3M50794,0.0053,0.0274,0.0054,0.0139,0.0171,0.0086,0.0081,0.0046,0.0129,0.0037,0.0123,0.0088,0.2007,4.7077,Intervention,LPG,Intervention
3M50813,0.0074,0.0257,0.0104,0.0131,0.0469,0.0239,0.0132,0.0046,0.0061,0.0037,0.0433,0.061,2.0144,5.0197,Intervention,LPG,Intervention
3M50821,0.0072,0.0222,0.0138,0.0186,0.0532,0.0144,0.0073,0.0046,0.0132,0.0078,0.0489,0.0134,1.16,4.8444,Control,Biomass,Control
3M50824,0.0083,0.0058,0.0104,0.0379,0.1689,0.0521,0.0078,0.0046,0.0155,0.0037,0.3873,0.0113,1.7299,17.0743,Control,Biomass,Control
3M50825,0.0058,0.028,0.0675,0.0168,0.032,0.0184,0.0134,0.0093,0.0445,0.009,0.0306,0.0121,0.4583,4.7697,Intervention,LPG,Intervention
3M50829,0.0136,0.0219,0.0794,0.0467,0.3083,0.072,0.0115,0.0091,0.0286,0.011,0.7452,0.012,2.8468,14.4126,Intervention,Biomass,Baseline
3M50833,0.004,0.009,0.0104,0.0195,0.0337,0.0075,0.0071,0.0056,0.0139,0.0086,0.0229,0.0118,0.2888,4.6762,Intervention,LPG,Intervention
3M50871,0.0079,0.009,0.0104,0.0627,0.56,0.0128,0.0062,0.0036,0.0075,0.0104,0.7554,0.061,2.3488,18.7669,Control,Biomass,Control
3M50876,0.0061,0.0061,0.0268,0.0325,0.2604,0.03,0.0132,0.0072,0.009,0.0095,0.6055,0.061,1.1657,11.5423,Control,Biomass,Control
3M50877,0.0112,0.0312,0.0693,0.0244,0.0825,0.0372,0.0086,0.0046,0.0104,0.0037,0.0434,0.0157,2.4105,6.5352,Control,Biomass,Control
3M50888,0.0081,0.0276,0.0098,0.0108,0.0615,0.0168,0.0132,0.0046,0.0147,0.0037,0.0891,0.061,1.4312,6.3055,Control,Biomass,Control
3M50889,0.0097,0.037,0.0299,0.0112,0.0404,0.0309,0.0132,0.0061,0.0172,0.0037,0.0288,0.061,0.2012,4.7685,Control,Biomass,Control
3M50890,0.007,0.0292,0.0126,0.0179,0.0566,0.0108,0.0132,0.0046,0.0146,0.0037,0.0676,0.0093,1.2852,5.4536,Control,Biomass,Control
3M50924,0.0056,0.009,0.0104,0.0158,0.0426,0.0158,0.0132,0.0046,0.0128,0.0037,0.0462,0.0111,1.2777,5.3139,Control,Biomass,Baseline
3M50927,0.0079,0.0377,0.097,0.0193,0.0305,0.0325,0.0101,0.0056,0.0384,0.0037,0.0576,0.0175,2.0795,5.1674,Intervention,LPG,Intervention
3M50986,0.0059,0.0119,0.0582,0.0228,0.0933,0.0267,0.0073,0.0069,0.0187,0.0037,0.1901,0.061,1.1878,9.6731,Control,Biomass,Control
3M50987,0.004,0.0188,0.0268,0.016,0.0264,0.0135,0.0132,0.0073,0.0271,0.0088,0.0353,0.061,1.2349,4.6763,Intervention,LPG,Intervention
3M50995,0.0054,0.027,0.0442,0.043,0.0252,0.012,0.0132,0.0094,0.0088,0.0165,0.0347,0.061,2.9161,7.8795,Control,Biomass,Control
3M50998,0.009,0.0447,0.0571,0.0514,0.1436,0.0227,0.0082,0.0062,0.0227,0.0037,0.2402,0.013,1.4455,10.5996,Control,Biomass,Baseline
3M51000,0.01,0.0564,0.0324,0.0169,0.0287,0.0176,0.0097,0.0067,0.0309,0.0037,0.0472,0.02,1.0635,4.6766,Intervention,LPG,Intervention
3M51014,0.012,0.0424,0.0642,0.0275,0.0907,0.04,0.0074,0.0046,0.0171,0.0095,0.1421,0.0248,1.9407,6.765,Intervention,LPG,Intervention
3M51018,0.0086,0.0353,0.0228,0.0725,0.1783,0.0299,0.0132,0.0046,0.0175,0.0037,0.2566,0.061,3.6495,10.9489,Intervention,Biomass,Baseline
3M51026,0.0156,0.0516,0.0395,0.0179,0.0527,0.0403,0.0096,0.0098,0.0301,0.0097,0.0821,0.0196,1.5041,6.5033,Control,Biomass,Control
3M51036,0.0072,0.0654,0.0987,0.035,0.0425,0.02,0.0125,0.0071,0.0466,0.0096,0.0782,0.0168,1.5274,5.2342,Intervention,LPG,Intervention
3M51073,0.0075,0.0075,0.0286,0.0098,0.0239,0.0367,0.0132,0.0049,0.0165,0.0088,0.0323,0.0157,0.7928,4.6769,Intervention,LPG,Intervention
3M51077,0.0129,0.0276,0.0596,0.0153,0.1582,0.055,0.0097,0.0082,0.0265,0.0037,0.2294,0.061,3.1608,10.0894,Intervention,Biomass,Baseline
